# === Voice data start ===
[8.30, 7.76, 9.14, 8.13, 8.14, 8.65, 7.77, 8.58, 7.34, 9.44, 7.89, 5.84, 6.05, 6.12, 5.58, 7.37, 97.10, 130.66, 85.82, 49.52, 38.48, 15.24, 15.43, 12.99, 20.27, 14.49, 18.38, 13.49, 53.97, 51.82, 23.03, 17.93, 9.91, 9.59, 6.61, 4.88, 5.51, 5.93, 3.96, 4.81, 3.44, 2.13, 2.76, 1.77, 2.15, 2.67, 2.30, 1.54, 3.30, 1.38, 0.91, 2.37, 0.89, 1.68, 0.57, 1.64, 1.32, 1.77, 2.93, 4.40, 5.88, 5.71, 6.01, 5.42, ],
[4.32, 0.81, 2.37, 2.37, 1.93, 2.99, 2.01, 2.18, 2.24, 3.10, 1.92, 0.63, 2.12, 0.85, 0.81, 2.10, 2.28, 33.05, 71.72, 99.86, 103.71, 43.88, 46.91, 24.01, 18.90, 12.80, 13.23, 18.18, 14.70, 9.76, 34.00, 62.81, 46.21, 29.58, 19.28, 5.12, 7.82, 1.51, 3.07, 2.43, 1.99, 1.78, 1.35, 1.91, 2.95, 2.50, 2.03, 2.80, 3.64, 3.28, 3.54, 2.40, 3.51, 5.68, 3.50, 4.84, 5.05, 4.39, 5.19, 5.91, 4.06, 4.17, 4.54, 6.51, ],
[5.77, 3.26, 4.56, 4.57, 4.10, 5.92, 4.27, 4.13, 4.53, 2.78, 4.37, 5.58, 6.44, 4.60, 3.80, 4.64, 3.86, 15.95, 88.63, 96.71, 62.57, 31.49, 31.59, 11.61, 11.94, 9.70, 14.50, 16.79, 13.19, 9.71, 34.60, 50.31, 43.46, 33.95, 25.18, 16.95, 9.19, 4.17, 4.26, 3.33, 2.35, 2.22, 3.22, 2.88, 2.65, 3.54, 3.24, 3.51, 1.94, 3.39, 2.33, 2.74, 3.72, 3.47, 3.60, 3.94, 3.17, 3.57, 3.45, 4.29, 4.02, 3.97, 5.26, 4.36, ],
[7.01, 5.21, 6.03, 6.88, 4.85, 4.39, 6.60, 4.65, 5.96, 6.14, 5.68, 6.05, 6.94, 7.04, 5.83, 5.78, 7.03, 4.59, 7.28, 72.95, 93.53, 111.46, 61.45, 46.96, 39.96, 17.02, 14.37, 12.54, 15.17, 18.82, 13.74, 7.23, 24.96, 38.65, 42.18, 37.11, 22.55, 20.47, 15.29, 6.07, 2.06, 3.74, 3.13, 3.91, 3.10, 2.34, 4.03, 3.67, 3.90, 4.50, 3.88, 3.83, 5.35, 6.24, 4.69, 5.52, 7.22, 6.63, 5.48, 5.45, 6.73, 6.88, 6.98, 6.57, ],
[4.17, 4.43, 4.11, 5.00, 4.96, 4.80, 3.90, 3.80, 4.24, 3.59, 4.88, 5.56, 4.43, 4.85, 2.10, 3.54, 8.86, 53.23, 84.67, 90.20, 28.39, 38.41, 12.62, 12.66, 9.79, 14.19, 15.92, 17.41, 9.65, 8.06, 32.85, 38.24, 35.40, 26.79, 17.62, 12.73, 7.84, 2.53, 3.04, 2.76, 2.66, 2.68, 2.45, 2.13, 3.89, 4.21, 3.11, 4.11, 2.66, 3.10, 3.35, 4.44, 4.39, 5.10, 5.28, 6.29, 5.52, 5.32, 6.27, 5.98, 5.48, 5.53, 6.71, 7.02, ],
[6.42, 6.41, 5.63, 5.80, 6.74, 5.90, 6.76, 6.53, 6.50, 6.97, 7.40, 6.05, 5.14, 6.53, 5.83, 6.33, 7.03, 5.99, 6.32, 7.78, 5.92, 6.86, 6.96, 6.20, 6.22, 7.29, 6.98, 5.27, 7.43, 7.17, 6.76, 7.80, 7.07, 5.51, 9.18, 64.32, 98.68, 127.95, 79.60, 62.10, 44.77, 25.77, 17.15, 13.74, 24.27, 26.81, 15.14, 7.79, 41.33, 42.91, 38.77, 32.36, 18.22, 17.54, 4.39, 2.73, 2.34, 3.71, 3.05, 2.79, 2.59, 2.21, 3.30, 3.48, ],
[2.64, 1.90, 1.03, 0.41, 0.86, 0.84, 1.33, 0.32, 0.57, 2.20, 2.16, 1.39, 0.62, 1.54, 2.39, 1.96, 0.91, 11.49, 28.44, 70.57, 71.16, 34.89, 34.13, 14.80, 13.01, 16.06, 14.65, 17.15, 18.25, 10.74, 14.16, 44.22, 41.17, 33.13, 37.27, 21.13, 19.37, 6.45, 5.69, 4.14, 2.29, 3.70, 4.44, 2.90, 2.15, 4.12, 3.26, 3.18, 4.21, 4.63, 4.81, 4.25, 2.92, 4.41, 4.85, 3.83, 3.23, 4.03, 3.37, 3.48, 4.30, 4.47, 3.18, 3.77, ],
[4.03, 4.15, 4.11, 4.11, 3.06, 2.68, 2.68, 2.82, 2.13, 2.02, 3.46, 3.15, 1.87, 2.71, 2.65, 1.60, 1.23, 0.85, 9.91, 51.77, 84.90, 57.17, 35.39, 26.33, 15.00, 13.44, 9.49, 13.11, 17.31, 14.49, 6.91, 21.39, 35.77, 36.76, 31.30, 26.12, 17.15, 15.21, 4.53, 3.30, 2.32, 1.14, 1.29, 2.02, 1.25, 2.04, 1.32, 2.03, 1.61, 1.72, 3.65, 2.50, 2.98, 3.65, 4.11, 4.72, 3.83, 4.29, 3.96, 3.60, 3.19, 3.25, 4.16, 3.99, ],
[3.57, 1.24, 3.49, 2.76, 2.04, 3.66, 1.92, 4.34, 3.44, 2.87, 4.73, 3.11, 3.79, 2.95, 4.37, 4.28, 3.03, 5.60, 4.44, 3.93, 4.20, 3.23, 3.19, 3.72, 2.67, 5.03, 42.34, 89.85, 82.68, 34.82, 44.26, 10.96, 14.60, 11.07, 10.71, 14.08, 12.18, 11.42, 4.75, 35.25, 33.31, 29.24, 26.97, 24.49, 19.02, 6.96, 3.48, 1.95, 2.49, 1.47, 1.55, 1.56, 0.94, 0.79, 1.19, 1.65, 1.68, 1.01, 0.88, 0.93, 0.87, 0.67, 1.80, 1.20, ],
[3.43, 4.40, 4.58, 3.71, 4.84, 3.51, 4.11, 4.61, 5.09, 4.32, 5.40, 5.14, 3.60, 3.37, 3.11, 20.33, 51.40, 69.95, 71.71, 40.53, 35.41, 17.68, 14.92, 11.81, 12.01, 16.63, 11.79, 11.12, 6.64, 48.75, 47.96, 35.49, 33.72, 24.33, 13.51, 6.79, 3.03, 2.33, 2.37, 1.39, 2.01, 2.40, 0.91, 2.34, 2.47, 1.10, 2.91, 1.93, 2.03, 2.61, 1.73, 1.00, 2.14, 1.84, 0.76, 1.83, 2.57, 1.11, 1.77, 2.08, 0.92, 0.88, 1.62, 1.57, ],
