# === Voice data start ===
[162.39, 149.24, 176.17, 169.82, 147.17, 110.02, 37.43, 22.58, 10.54, 11.77, 8.65, 7.90, 4.25, 4.27, 3.47, 2.84, 2.82, 3.15, 2.14, 5.17, 2.89, 5.36, 6.16, 2.88, 3.17, 3.09, 6.47, 4.18, 4.66, 4.99, 4.62, 4.91, ],
[161.89, 153.17, 185.90, 192.31, 157.53, 114.58, 37.50, 23.72, 11.68, 11.62, 7.98, 5.75, 6.86, 7.48, 3.70, 4.16, 7.30, 4.23, 2.69, 5.02, 3.84, 2.55, 2.14, 3.78, 3.62, 2.64, 3.41, 3.80, 4.18, 5.32, 7.63, 4.61, ],
[157.93, 151.97, 166.77, 198.77, 141.83, 123.12, 70.74, 26.16, 15.27, 9.04, 7.63, 6.98, 3.62, 6.03, 4.54, 2.41, 3.44, 4.66, 2.31, 2.94, 6.83, 4.91, 3.38, 3.72, 3.96, 3.85, 3.21, 6.59, 4.59, 5.40, 4.78, 7.05, ],
[155.46, 146.97, 162.71, 182.93, 140.64, 123.38, 74.22, 26.82, 15.95, 9.50, 8.75, 9.12, 4.97, 4.09, 3.40, 3.64, 2.65, 3.37, 3.51, 3.86, 2.27, 4.75, 2.28, 2.61, 4.76, 3.49, 5.81, 4.46, 4.37, 6.00, 4.06, 6.00, ],
[152.80, 151.16, 183.89, 209.20, 160.95, 120.09, 46.41, 25.51, 18.16, 10.88, 8.50, 6.07, 4.70, 3.59, 2.43, 2.92, 2.92, 4.50, 3.49, 2.84, 3.75, 3.07, 2.50, 2.94, 3.25, 5.04, 3.05, 3.61, 5.70, 4.14, 7.37, 5.00, ],
[150.54, 183.19, 173.69, 147.09, 124.15, 87.79, 32.80, 16.63, 9.24, 8.16, 6.22, 4.07, 3.98, 2.60, 3.36, 3.12, 5.37, 3.05, 2.78, 4.14, 3.12, 3.75, 5.75, 5.27, 2.39, 5.67, 4.48, 4.01, 5.48, 6.08, 5.05, 4.76, ],
[161.83, 161.47, 178.55, 136.43, 113.80, 47.07, 25.88, 13.39, 11.72, 8.91, 6.85, 4.72, 3.62, 4.95, 2.93, 2.89, 5.07, 4.18, 4.57, 2.35, 4.80, 2.12, 2.73, 3.39, 3.65, 6.03, 3.28, 6.46, 4.88, 3.64, 4.93, 5.02, ],
[153.03, 146.86, 170.12, 192.57, 190.07, 122.67, 93.20, 25.79, 20.33, 9.80, 9.67, 9.92, 6.16, 3.23, 4.27, 2.48, 2.44, 2.94, 4.75, 2.15, 4.95, 4.28, 2.54, 3.26, 3.06, 4.49, 4.11, 3.47, 4.23, 3.29, 4.05, 8.54, ],
[170.09, 162.84, 158.44, 139.07, 103.56, 43.96, 18.33, 13.13, 10.11, 8.44, 5.13, 5.10, 4.78, 2.98, 4.13, 2.29, 3.51, 5.07, 1.99, 3.34, 2.63, 4.77, 3.70, 3.34, 4.68, 4.47, 4.24, 5.03, 4.66, 4.24, 4.73, 7.49, ],
[176.64, 136.35, 106.65, 84.74, 24.44, 16.16, 10.83, 8.14, 5.73, 5.80, 4.44, 2.71, 3.28, 2.90, 4.82, 5.47, 6.68, 3.64, 3.07, 5.52, 11.27, 5.45, 2.89, 3.24, 4.50, 4.11, 7.54, 5.04, 4.53, 4.67, 5.93, 5.32, ],
[151.66, 144.13, 174.23, 167.80, 146.43, 108.13, 36.14, 22.92, 11.25, 11.35, 9.07, 5.69, 6.23, 7.83, 3.17, 2.20, 3.44, 5.75, 5.92, 6.43, 2.38, 2.43, 2.27, 2.71, 4.63, 3.37, 5.31, 4.92, 4.85, 3.68, 4.63, 5.26, ],
