# === Voice data start ===
[7.01, 6.98, 5.08, 6.19, 6.43, 3.26, 4.21, 3.85, 4.05, 5.41, 4.91, 3.29, 3.64, 2.66, 3.57, 2.53, 3.39, 2.99, 38.29, 66.35, 63.85, 73.83, 60.46, 66.68, 60.39, 67.99, 51.95, 52.19, 48.08, 49.42, 44.47, 26.21, 20.56, 33.97, 35.54, 37.61, 33.52, 24.39, 23.10, 35.43, 42.31, 38.46, 32.59, 30.00, 27.83, 19.97, 10.32, 4.86, 3.50, 3.73, 1.89, 2.36, 2.49, 1.73, 3.68, 2.89, 3.11, 3.56, 2.74, 4.75, 3.46, 3.75, 5.37, 4.14, ],
[2.20, 2.59, 4.48, 4.01, 3.74, 4.05, 4.55, 4.74, 3.90, 7.08, 3.39, 3.84, 5.20, 3.03, 5.92, 11.33, 37.21, 48.65, 55.94, 58.09, 46.88, 58.40, 49.53, 49.23, 41.80, 45.91, 45.15, 44.17, 29.34, 14.80, 25.21, 28.14, 27.12, 25.76, 26.27, 22.93, 30.40, 33.30, 31.90, 32.69, 30.51, 26.06, 12.39, 4.07, 2.85, 1.32, 5.06, 1.49, 1.80, 2.32, 2.53, 2.97, 2.00, 3.83, 1.51, 3.15, 3.07, 3.76, 2.49, 3.28, 2.95, 2.97, 5.69, 3.47, ],
[4.98, 3.25, 4.77, 3.72, 2.27, 2.78, 2.02, 3.76, 3.66, 4.85, 2.82, 3.32, 3.80, 0.81, 2.56, 0.81, 7.75, 35.67, 39.17, 47.53, 40.84, 47.03, 49.91, 55.07, 50.31, 54.34, 58.20, 46.03, 51.87, 41.57, 39.80, 14.94, 19.92, 39.92, 39.06, 33.23, 33.44, 28.73, 37.77, 40.32, 39.72, 37.31, 30.74, 24.01, 12.43, 5.15, 2.90, 2.04, 1.44, 2.85, 3.01, 2.26, 1.99, 2.81, 2.68, 2.81, 4.05, 2.53, 3.38, 5.94, 2.83, 5.15, 5.13, 5.15, ],
[4.51, 3.11, 6.35, 2.96, 5.83, 6.52, 3.86, 3.64, 5.78, 3.23, 5.36, 5.21, 4.57, 3.47, 4.55, 4.42, 2.21, 5.37, 2.59, 6.81, 48.35, 60.20, 50.48, 54.43, 62.05, 56.35, 55.80, 49.01, 50.48, 41.13, 27.45, 13.85, 18.06, 22.78, 21.20, 25.84, 18.64, 11.99, 28.42, 37.74, 40.01, 34.68, 29.32, 25.51, 22.66, 8.37, 4.11, 2.12, 3.06, 1.33, 1.33, 1.39, 1.53, 1.37, 3.31, 1.14, 1.21, 2.09, 1.12, 0.97, 1.05, 1.12, 1.19, 1.49, ],
[1.80, 4.07, 3.32, 3.57, 4.92, 4.48, 4.70, 6.04, 5.19, 4.85, 6.14, 5.23, 6.04, 6.58, 6.85, 4.18, 5.65, 7.14, 5.75, 48.60, 59.87, 58.31, 63.22, 69.35, 74.18, 61.16, 68.31, 48.78, 57.43, 54.01, 49.64, 39.86, 18.55, 20.85, 19.42, 34.71, 28.32, 32.67, 24.66, 26.05, 29.46, 32.40, 27.75, 24.33, 24.02, 10.19, 3.45, 3.34, 1.63, 1.92, 2.06, 1.54, 0.66, 0.82, 0.77, 1.06, 1.73, 2.30, 1.15, 1.95, 1.90, 2.96, 2.39, 2.43, ],
[0.90, 0.92, 0.28, 2.02, 1.63, 1.94, 0.70, 1.28, 0.94, 1.18, 1.22, 1.73, 1.61, 0.72, 0.78, 0.69, 0.41, 0.52, 0.82, 12.91, 55.36, 61.77, 68.00, 61.45, 60.89, 46.57, 50.54, 46.40, 54.03, 44.10, 47.20, 37.83, 21.74, 18.59, 23.61, 30.31, 29.05, 29.46, 15.42, 18.75, 31.94, 39.34, 36.16, 30.98, 25.73, 20.82, 6.55, 3.53, 2.79, 1.15, 1.75, 1.22, 0.84, 1.57, 0.64, 1.12, 1.09, 2.96, 2.34, 2.10, 1.98, 0.89, 1.67, 3.25, ],
[5.11, 5.69, 3.99, 6.72, 5.52, 6.04, 5.98, 4.72, 4.93, 3.76, 7.08, 4.08, 4.58, 5.00, 3.15, 4.37, 2.99, 3.80, 4.08, 2.78, 4.20, 4.03, 2.18, 4.74, 18.59, 44.47, 59.03, 59.80, 54.89, 62.50, 58.22, 53.78, 59.34, 52.97, 44.46, 50.99, 38.23, 15.69, 21.37, 20.16, 28.26, 22.81, 17.11, 22.99, 32.00, 34.06, 39.60, 30.84, 28.20, 16.51, 3.10, 4.43, 2.51, 2.05, 3.95, 1.98, 2.15, 4.31, 3.44, 3.15, 2.51, 3.31, 2.73, 1.50, ],
[1.35, 1.53, 0.76, 0.81, 0.81, 0.62, 1.38, 0.65, 1.39, 0.95, 1.17, 0.54, 0.73, 1.41, 3.57, 2.01, 26.83, 55.21, 73.54, 62.39, 71.60, 69.68, 62.25, 45.45, 56.58, 44.69, 37.00, 45.93, 35.53, 39.72, 14.88, 12.57, 13.23, 23.59, 28.01, 23.25, 24.75, 21.31, 28.68, 30.41, 31.01, 30.88, 20.57, 20.69, 13.60, 3.71, 3.41, 3.48, 2.03, 2.06, 3.31, 0.95, 2.65, 2.67, 2.76, 2.70, 3.09, 2.81, 2.47, 4.18, 3.08, 4.15, 4.89, 3.70, ],
[0.86, 1.54, 1.40, 2.34, 2.47, 0.35, 2.14, 1.89, 1.04, 2.37, 2.12, 2.86, 2.50, 2.75, 1.75, 16.91, 51.65, 66.91, 53.44, 56.48, 63.57, 57.91, 47.71, 55.47, 52.00, 37.42, 45.37, 33.81, 25.21, 19.36, 23.16, 33.46, 29.00, 31.30, 24.30, 25.91, 24.15, 34.22, 28.23, 25.00, 21.60, 5.89, 3.91, 2.89, 2.33, 1.86, 1.98, 0.64, 1.59, 0.79, 1.02, 1.63, 0.98, 0.72, 1.56, 0.76, 0.68, 1.14, 0.55, 0.68, 1.33, 0.70, 0.81, 2.05, ],
[0.78, 0.91, 0.64, 0.41, 0.59, 0.53, 0.68, 1.76, 1.45, 0.78, 0.61, 0.54, 1.56, 1.27, 0.80, 1.23, 0.52, 0.63, 1.36, 1.35, 0.55, 0.58, 0.71, 1.27, 0.94, 12.57, 45.88, 54.03, 60.62, 70.51, 59.43, 52.66, 48.65, 39.79, 56.93, 46.16, 40.54, 44.71, 34.13, 33.64, 16.02, 16.00, 22.28, 25.42, 24.69, 13.91, 29.27, 34.22, 32.65, 25.23, 28.08, 24.52, 20.01, 12.00, 2.94, 3.69, 2.56, 2.49, 1.30, 1.78, 1.89, 0.83, 1.78, 2.13, ],
[6.55, 8.94, 5.27, 7.84, 8.81, 7.45, 7.47, 7.66, 5.54, 7.87, 5.83, 7.41, 5.67, 5.08, 6.31, 2.83, 4.48, 1.48, 10.49, 45.76, 46.31, 46.76, 45.92, 52.60, 40.52, 41.23, 42.56, 46.81, 42.47, 46.00, 33.42, 27.40, 14.30, 17.17, 27.74, 30.32, 29.75, 25.48, 27.13, 28.88, 31.72, 27.70, 29.96, 23.72, 25.44, 13.94, 4.75, 4.83, 4.06, 4.78, 6.43, 3.50, 4.11, 4.83, 3.74, 2.00, 2.33, 3.04, 1.18, 1.47, 2.05, 0.86, 0.73, 0.22, ],
[0.82, 0.45, 0.91, 1.26, 0.95, 0.31, 1.55, 1.13, 1.46, 0.78, 1.09, 1.18, 1.60, 1.03, 1.07, 0.81, 1.51, 0.59, 33.33, 43.77, 56.31, 55.88, 55.50, 57.34, 50.28, 38.50, 51.57, 51.69, 46.29, 47.94, 41.50, 34.49, 14.99, 19.51, 28.77, 31.45, 26.40, 29.65, 32.30, 34.13, 29.27, 29.13, 24.64, 10.79, 3.20, 1.97, 2.35, 1.82, 1.01, 0.80, 1.45, 0.76, 0.68, 1.19, 1.25, 2.03, 3.24, 2.98, 3.68, 3.23, 3.06, 5.30, 3.14, 3.10, ],
