aX,aY,aZ,gX,gY,gZ
-0.235,-0.149,2.814,26.306,205.566,3.113
-0.265,-0.227,2.642,17.761,234.497,6.531
-0.311,-0.295,2.322,8.606,263.916,11.658
-0.343,-0.364,1.942,-1.831,289.734,17.944
-0.391,-0.339,1.582,-10.071,307.251,28.809
-0.407,-0.192,1.246,-15.442,317.932,43.091
-0.399,-0.038,0.922,-18.127,322.571,53.284
-0.401,0.104,0.621,-15.991,321.045,57.312
-0.390,0.354,0.356,-3.784,312.256,59.814
-0.331,0.602,0.158,11.597,298.889,56.030
-0.273,0.758,0.006,28.564,281.677,40.588
-0.221,0.762,-0.142,43.152,267.273,17.334
-0.169,0.590,-0.276,47.363,255.371,-8.240
-0.124,0.394,-0.422,45.227,246.094,-27.588
-0.089,0.204,-0.571,37.476,236.877,-39.185
-0.048,0.007,-0.692,20.874,226.562,-45.593
0.032,-0.176,-0.797,-0.122,216.248,-46.326
0.133,-0.294,-0.928,-22.583,209.351,-41.321
0.240,-0.349,-1.174,-41.199,204.529,-34.546
0.319,-0.416,-1.439,-53.772,194.824,-29.846
0.403,-0.505,-1.679,-55.664,179.199,-27.161
0.494,-0.590,-1.958,-45.105,161.316,-21.851
0.583,-0.600,-2.221,-30.518,138.611,-12.573
0.652,-0.547,-2.438,-16.174,109.253,-3.052
0.692,-0.521,-2.557,-5.249,72.205,3.906
0.705,-0.479,-2.594,1.404,29.724,11.414
0.679,-0.348,-2.581,6.348,-11.963,21.240
0.636,-0.180,-2.428,8.118,-57.068,28.259
0.580,0.035,-2.148,9.155,-102.722,31.311
0.539,0.197,-1.834,9.705,-139.954,27.649
0.502,0.278,-1.541,14.099,-169.556,18.311
0.482,0.243,-1.321,22.034,-191.589,5.981
0.438,0.214,-1.163,31.555,-208.008,-3.174
0.404,0.194,-0.980,39.490,-223.267,-10.132
0.360,0.098,-0.796,41.443,-237.000,-17.822
0.314,0.022,-0.655,35.828,-245.667,-20.142
0.260,-0.029,-0.562,28.137,-250.854,-18.250
0.202,-0.084,-0.481,19.531,-256.531,-15.076
0.148,-0.107,-0.388,9.644,-263.000,-9.949
0.029,-0.079,-0.284,3.601,-269.836,-3.418
-0.081,-0.038,-0.094,2.747,-277.893,2.563
-0.217,0.074,0.156,10.986,-284.790,8.545
-0.312,0.220,0.482,29.236,-288.330,11.719
-0.429,0.437,0.874,57.129,-289.612,9.033
-0.486,0.649,1.211,85.815,-285.767,0.732
-0.468,0.704,1.534,94.360,-276.672,-16.907
-0.473,0.439,1.856,74.402,-263.000,-45.105
-0.434,0.039,2.208,28.992,-244.141,-68.054
-0.339,-0.299,2.508,-33.386,-219.360,-73.608
-0.248,-0.457,2.667,-98.267,-187.195,-65.247
-0.119,-0.536,2.804,-155.640,-153.870,-52.063
0.031,-0.656,2.738,-192.078,-115.845,-39.734
0.176,-0.693,2.587,-206.299,-82.275,-18.860
0.247,-0.518,2.963,-192.993,-73.486,4.700
0.295,-0.212,2.369,-126.160,-69.214,22.888
0.308,0.264,2.861,-63.232,-72.388,39.063
0.351,0.276,2.963,-4.639,-71.045,30.945
0.421,0.123,3.053,45.105,-57.861,7.019
0.304,0.092,3.204,61.890,-46.143,-1.648
0.348,0.062,3.355,64.819,-25.940,-8.423
0.325,-0.029,3.263,64.209,5.920,-16.296
0.294,-0.213,3.391,52.917,30.090,-20.813
0.274,-0.478,3.139,44.861,69.885,-22.888
0.261,-0.641,2.858,35.645,108.459,-12.817
0.239,-0.763,2.502,18.127,140.259,2.441
0.170,-0.763,2.188,4.761,162.354,22.156
0.123,-0.615,2.063,-4.028,172.058,45.959
0.117,-0.413,1.915,-5.859,182.983,65.796
0.040,-0.221,1.782,-0.549,192.749,76.843
-0.010,-0.099,1.759,8.057,195.496,78.918
-0.050,-0.018,1.738,19.592,199.524,78.308
-0.130,0.084,1.683,27.588,208.984,77.454
-0.195,0.302,1.672,35.522,215.759,79.956
-0.234,0.556,1.664,42.114,221.985,78.491
-0.215,0.694,1.557,43.579,234.436,67.444
-0.236,0.615,1.331,33.569,253.235,46.326
-0.260,0.327,0.994,12.756,273.743,23.193
-0.264,0.156,0.664,-6.897,287.170,12.085
-0.249,0.055,0.375,-26.428,291.626,10.010
-0.192,0.109,0.078,-43.213,293.335,15.015
-0.122,0.148,-0.237,-52.246,292.908,14.771
-0.044,0.125,-0.528,-53.467,286.072,7.690
0.035,0.109,-0.743,-46.448,271.484,0.977
0.102,0.107,-0.888,-34.485,251.221,-4.700
0.165,0.120,-1.017,-19.592,228.333,-10.315
0.210,0.119,-1.101,-7.385,206.604,-17.456
0.266,0.123,-1.228,-0.122,189.575,-24.597
0.324,0.129,-1.423,2.319,176.575,-31.311
0.349,0.081,-1.591,-2.808,160.645,-39.246
0.413,-0.041,-1.665,-13.184,138.855,-47.058
0.456,-0.199,-1.742,-23.926,118.591,-50.720
0.520,-0.323,-1.855,-33.630,101.440,-48.584
0.611,-0.347,-1.995,-38.208,82.153,-40.894
0.690,-0.289,-2.134,-37.537,58.105,-32.104
0.726,-0.256,-2.195,-35.889,28.320,-27.954
0.723,-0.260,-2.181,-30.457,-4.822,-26.123
0.696,-0.274,-2.139,-21.057,-38.147,-23.071
0.647,-0.258,-2.071,-9.094,-72.388,-18.188
0.585,-0.155,-1.958,4.150,-106.689,-11.719

-0.749,0.499,1.998,79.651,-378.845,-41.992
-0.724,0.246,2.590,60.913,-362.732,-61.707
-0.578,0.018,3.096,21.667,-324.829,-69.885
-0.365,-0.288,3.562,-42.236,-281.555,-72.571
-0.183,-0.611,3.638,-113.770,-200.073,-71.899
-0.037,-0.892,3.294,-166.626,-112.061,-60.913
0.125,-0.952,2.921,-200.073,-53.894,-33.936
0.146,-0.773,2.621,-203.674,-23.865,3.784
0.349,-0.268,2.022,-167.969,-7.507,36.438
0.325,0.160,2.326,-107.727,-27.039,54.138
0.361,0.534,2.604,-61.035,-53.528,56.030
0.401,0.619,2.819,-5.127,-49.194,32.166
0.305,0.806,2.974,23.865,-39.429,13.000
0.334,0.610,3.038,42.053,-23.682,-11.108
0.338,0.495,3.043,54.321,-2.502,-30.212
0.301,0.287,3.111,59.021,13.672,-39.856
0.302,-0.104,3.016,58.655,40.222,-51.697
0.339,-0.387,2.818,56.824,71.167,-47.241
0.331,-0.528,2.498,52.307,101.257,-32.776
0.282,-0.588,2.256,46.265,119.873,-15.015
0.214,-0.529,2.141,44.922,128.967,4.028
0.148,-0.371,2.144,48.706,135.681,23.437
0.098,-0.148,2.179,57.739,144.897,37.109
0.051,-0.079,2.175,64.697,158.081,40.588
-0.039,-0.006,2.187,68.298,172.668,42.786
-0.118,-0.004,2.149,65.979,190.125,42.664
-0.207,0.076,2.085,58.044,209.961,44.617
-0.261,0.224,1.978,45.776,230.591,47.852
-0.295,0.297,1.741,29.114,254.639,45.227
-0.302,0.253,1.396,7.690,282.166,37.476
-0.298,0.240,0.969,-8.362,307.129,30.579
-0.300,0.150,0.492,-17.883,323.181,19.775
-0.269,0.019,0.062,-24.597,325.989,10.193
-0.192,0.087,-0.344,-19.226,319.580,13.916
-0.104,0.165,-0.701,-8.118,304.260,14.526
-0.009,0.174,-0.999,2.686,280.701,7.568
0.081,0.176,-1.145,12.329,242.249,0.183
0.159,0.148,-1.143,16.968,203.857,-6.775
0.223,0.115,-1.147,19.897,173.950,-13.611
0.294,0.105,-1.200,18.433,152.100,-18.494
0.345,0.088,-1.260,11.230,133.606,-23.499
0.398,-0.000,-1.288,-1.099,116.577,-30.579
0.468,-0.044,-1.320,-11.475,101.379,-34.729
0.507,-0.140,-1.331,-21.667,88.684,-38.208
0.573,-0.297,-1.330,-32.104,76.477,-41.870
0.637,-0.434,-1.417,-37.109,68.298,-40.405
0.705,-0.500,-1.569,-36.133,58.655,-33.569
0.760,-0.513,-1.701,-30.884,42.480,-24.658
0.804,-0.505,-1.758,-25.574,19.592,-16.174
0.814,-0.505,-1.743,-21.423,-6.104,-7.996
0.780,-0.461,-1.704,-14.282,-31.860,0.427
0.721,-0.368,-1.587,-6.470,-58.960,9.094
0.671,-0.244,-1.408,-0.305,-85.876,16.113
0.611,-0.112,-1.280,3.052,-106.812,20.020
0.565,0.009,-1.195,2.014,-123.169,20.020
0.499,0.057,-1.097,-2.808,-139.343,15.564
0.432,0.065,-0.993,-9.155,-155.762,10.620
0.383,0.049,-0.922,-12.817,-170.166,7.690
0.327,0.058,-0.847,-14.160,-184.937,6.958
0.269,0.057,-0.796,-14.404,-199.524,7.324
0.212,0.013,-0.756,-13.428,-214.172,6.836
0.141,-0.023,-0.743,-11.780,-229.919,7.874
0.032,-0.059,-0.730,-10.254,-247.498,11.536
-0.109,-0.109,-0.614,-6.592,-270.630,15.625
-0.264,-0.139,-0.330,1.465,-298.340,21.362
-0.446,-0.042,0.060,14.893,-322.998,28.809
-0.594,0.250,0.551,32.349,-341.614,34.180
-0.672,0.552,1.270,44.983,-359.253,28.137
-0.683,0.720,2.095,49.194,-367.065,11.047
-0.634,0.671,2.812,42.114,-348.206,-8.972
-0.436,0.485,3.126,18.250,-301.453,-25.757
-0.235,0.129,3.292,-26.245,-236.877,-40.344
-0.047,-0.210,3.019,-73.914,-161.255,-47.485
0.085,-0.403,2.648,-113.098,-105.957,-41.504
0.214,-0.364,2.224,-135.376,-75.256,-26.123
0.411,-0.358,2.427,-146.179,-69.031,-9.949
0.216,-0.461,1.978,-98.633,-71.167,7.446
0.308,-0.175,2.838,-74.768,-119.568,30.518
0.358,0.130,3.159,-11.353,-121.887,41.931
0.392,0.287,3.197,38.757,-100.037,31.982
0.284,0.339,3.333,68.237,-84.473,16.296
0.138,0.333,3.633,93.445,-64.575,2.808
0.201,0.289,3.442,110.779,-13.123,-5.920
0.143,0.235,3.360,107.910,25.391,-15.991
0.072,-0.291,3.332,80.811,57.129,-39.429
0.100,-0.650,3.214,49.683,101.379,-39.246
0.087,-0.674,2.814,24.536,148.682,-15.320
0.095,-0.641,2.482,-0.977,179.077,5.432
0.065,-0.620,2.224,-20.569,195.679,18.250
0.016,-0.576,2.069,-29.114,205.444,30.273
-0.019,-0.401,1.916,-24.963,213.013,45.410
-0.038,-0.253,1.742,-13.000,221.130,57.678
-0.039,0.008,1.594,1.831,224.976,67.444
-0.090,0.131,1.476,14.282,227.844,63.354
-0.140,0.155,1.366,21.912,231.323,51.147
-0.177,0.277,1.212,26.245,237.183,46.448
-0.207,0.390,1.038,25.452,244.263,41.931
-0.223,0.408,0.854,21.057,249.023,32.410
-0.202,0.363,0.626,17.883,251.831,22.034
-0.158,0.348,0.399,13.794,251.953,13.733
-0.152,0.224,0.170,6.958,249.878,2.808
-0.087,0.041,-0.135,2.869,250.244,-3.662
0.000,0.057,-0.442,-0.122,247.253,1.343
0.091,0.099,-0.684,-1.587,234.924,4.395
0.185,0.006,-0.797,-2.136,213.684,-2.319
0.271,-0.086,-0.858,-2.563,190.552,-7.996
0.348,-0.117,-0.968,2.808,175.171,-8.545
0.423,-0.140,-1.144,11.597,162.292,-8.484
0.492,-0.135,-1.272,14.709,145.508,-8.423
0.536,-0.144,-1.370,9.888,127.869,-8.301
0.590,-0.157,-1.451,-0.488,110.779,-8.057
0.635,-0.126,-1.487,-14.526,92.529,-5.737
0.664,-0.097,-1.487,-29.236,73.425,-4.211
0.707,-0.067,-1.494,-38.818,55.359,-4.517
0.749,-0.023,-1.518,-42.847,37.903,-5.432
0.783,-0.013,-1.555,-42.786,19.592,-8.240
0.796,-0.049,-1.584,-37.781,-0.549,-12.085
0.795,-0.102,-1.581,-29.907,-22.888,-14.160
0.767,-0.137,-1.520,-21.179,-47.668,-13.062

-0.387,0.489,2.155,93.018,-286.621,-24.536
-0.404,0.380,2.089,96.619,-247.498,-45.410
-0.401,-0.070,2.364,69.031,-232.849,-73.975
-0.423,-0.529,2.705,19.653,-230.957,-89.600
-0.221,-0.589,3.462,-39.429,-224.976,-79.895
-0.223,-1.087,3.598,-61.584,-182.617,-71.777
-0.061,-1.085,4.000,-127.258,-157.471,-46.997
0.091,-0.645,4.000,-128.784,-77.332,3.235
0.190,-0.559,3.453,-98.145,-1.160,10.010
0.213,-0.581,3.270,-75.134,16.113,5.981
0.228,-0.411,3.305,-44.983,21.912,12.817
0.216,-0.155,3.155,-13.184,47.546,23.499
0.199,0.065,2.911,15.076,78.613,25.513
0.161,0.169,2.576,39.551,102.844,13.184
0.089,-0.008,2.336,60.486,113.098,-6.653
0.069,-0.102,2.375,69.153,109.314,-12.146
0.046,-0.079,2.211,78.247,121.582,-7.568
0.013,-0.156,2.006,84.900,133.423,-6.409
-0.041,-0.281,1.945,88.379,135.132,-6.470
-0.061,-0.375,2.087,87.097,132.385,-1.648
-0.109,-0.439,2.306,78.979,135.681,6.409
-0.168,-0.425,2.399,71.411,154.358,16.479
-0.219,-0.407,2.315,64.453,183.838,26.367
-0.289,-0.379,2.089,53.223,217.346,35.522
-0.337,-0.355,1.807,38.879,248.291,44.434
-0.383,-0.309,1.472,23.560,276.062,53.711
-0.384,-0.228,1.064,9.338,302.490,63.110
-0.388,-0.129,0.620,-2.258,323.181,69.336
-0.388,-0.042,0.149,-10.193,334.229,71.106
-0.343,0.089,-0.301,-16.235,335.266,71.411
-0.278,0.266,-0.721,-15.991,323.303,68.359
-0.160,0.286,-1.097,-13.794,297.180,57.800
-0.021,0.360,-1.252,-18.188,253.662,50.232
0.102,0.494,-1.263,-22.400,210.999,44.739
0.243,0.528,-1.225,-13.672,172.485,29.846
0.344,0.447,-1.244,-0.793,142.822,9.766
0.444,0.282,-1.255,14.038,117.859,-7.935
0.545,0.083,-1.218,25.818,93.994,-21.545
0.637,-0.102,-1.223,31.311,76.416,-28.442
0.726,-0.276,-1.215,30.334,60.852,-29.175
0.799,-0.369,-1.137,23.254,44.739,-24.231
0.832,-0.385,-1.062,12.756,32.776,-15.686
0.850,-0.379,-1.021,2.319,24.719,-7.568
0.840,-0.350,-1.009,-6.897,18.005,-0.427
0.841,-0.275,-1.032,-14.038,11.597,6.958
0.830,-0.163,-1.115,-17.090,5.066,14.221
0.802,-0.037,-1.218,-16.724,-3.052,18.494
0.768,0.070,-1.267,-16.785,-16.602,19.104
0.749,0.153,-1.291,-16.968,-33.569,16.541
0.728,0.219,-1.308,-15.503,-51.697,12.329
0.707,0.215,-1.288,-15.747,-72.388,5.310
0.682,0.151,-1.213,-17.944,-94.727,-1.831
0.644,0.096,-1.103,-19.653,-116.089,-5.981
0.581,0.064,-0.989,-22.400,-134.033,-7.996
0.510,0.060,-0.899,-23.376,-149.475,-8.240
0.450,0.076,-0.695,-22.461,-165.833,-8.423
0.387,0.186,-0.413,-18.433,-179.321,-9.705
0.305,0.267,-0.337,-12.024,-180.847,-13.184
0.209,0.249,-0.417,-3.967,-179.260,-20.264
0.110,0.175,-0.472,3.479,-188.538,-26.428
0.007,0.107,-0.433,10.864,-209.717,-28.992
-0.085,0.046,-0.295,17.822,-237.000,-28.381
-0.169,-0.052,-0.037,21.606,-265.320,-26.672
-0.252,-0.148,0.345,18.372,-290.161,-22.705
-0.354,-0.143,0.916,13.794,-310.120,-15.686
-0.406,-0.109,1.449,17.334,-316.589,-8.789
-0.444,0.128,1.953,25.391,-308.044,-2.136
-0.387,0.188,2.450,26.733,-289.612,-7.202
-0.352,-0.004,2.784,10.986,-252.014,-23.499
-0.302,-0.131,2.889,-17.578,-199.097,-32.166
-0.216,-0.154,2.893,-52.551,-149.780,-31.860
-0.205,-0.126,2.594,-86.182,-115.906,-32.898
0.151,-0.018,2.818,-117.859,-98.755,-34.241
0.042,-0.516,2.322,-93.445,-66.101,-46.204
0.224,-0.581,2.916,-110.596,-85.205,-42.542
0.351,-0.482,2.495,-69.336,-65.613,-17.212
0.432,-0.468,2.739,-25.940,-64.636,-14.771
0.381,-0.614,3.073,-6.348,-71.838,-17.334
0.325,-0.552,3.231,19.897,-59.265,-8.667
0.335,-0.302,3.421,40.283,-33.264,8.118
0.278,-0.125,3.302,52.490,9.888,9.827
0.227,-0.261,3.039,53.162,49.927,-2.502
0.153,-0.467,2.981,34.851,79.651,-9.277
0.110,-0.571,2.777,8.240,116.272,-3.357
0.075,-0.592,2.397,-13.733,156.677,10.193
0.058,-0.557,1.944,-31.372,188.232,24.048
0.053,-0.473,1.609,-44.006,201.355,37.537
0.057,-0.412,1.384,-48.462,201.355,47.119
0.080,-0.253,1.289,-40.100,191.589,56.213
0.097,-0.094,1.301,-23.132,177.612,62.439
0.105,0.129,1.469,-4.639,163.879,64.575
0.075,0.375,1.633,15.991,158.508,59.998
0.031,0.576,1.650,35.706,165.283,48.218
0.014,0.641,1.544,48.401,178.162,31.616
0.006,0.533,1.354,55.786,192.383,13.123
-0.001,0.311,1.096,56.519,205.811,-2.563
-0.001,0.162,0.847,50.842,216.370,-9.216
0.019,0.069,0.600,42.358,224.121,-9.521
0.051,-0.028,0.369,29.602,228.760,-9.583
0.070,-0.117,0.128,16.846,230.469,-8.850
0.111,-0.176,-0.137,7.385,230.957,-3.601
0.165,-0.122,-0.400,0.671,228.638,6.653
0.211,-0.042,-0.662,-2.808,222.046,14.221
0.277,0.025,-0.857,-2.502,206.421,15.503
0.350,0.046,-0.971,1.221,181.152,11.963
0.411,0.085,-1.046,5.493,155.334,7.202
0.473,0.156,-1.164,10.986,135.864,2.747
0.528,0.215,-1.251,13.977,116.821,-3.967
0.575,0.182,-1.271,10.803,95.825,-15.015
0.610,0.067,-1.283,4.883,76.660,-26.306
0.637,-0.083,-1.292,-1.770,59.448,-32.837
0.697,-0.173,-1.290,-8.423,42.542,-32.898
0.748,-0.248,-1.273,-14.465,26.245,-29.968
0.796,-0.332,-1.301,-20.691,11.658,-26.428
0.818,-0.379,-1.343,-24.170,-3.052,-19.836
0.825,-0.372,-1.339,-24.597,-21.606,-11.169
0.818,-0.342,-1.246,-24.048,-42.603,-3.235
0.780,-0.303,-1.128,-22.095,-62.805,3.418
0.730,-0.214,-1.021,-18.250,-79.407,10.071

-0.220,0.014,2.875,-86.060,-225.098,-23.376
-0.101,-0.156,3.052,-123.108,-181.519,-24.719
-0.056,-0.180,3.003,-138.245,-139.038,-17.212
0.294,0.124,2.557,-125.793,-103.516,-10.010
0.296,-0.326,2.867,-91.858,-90.637,-17.761
0.407,-0.131,2.947,-74.890,-91.003,-0.671
0.443,-0.187,2.676,-17.334,-66.345,0.366
0.414,-0.204,2.807,10.925,-65.674,-4.028
0.355,-0.056,3.041,23.376,-67.688,0.061
0.339,0.204,3.450,34.546,-62.500,5.798
0.350,0.285,3.602,41.321,-32.166,0.000
0.282,-0.006,3.467,41.748,17.883,-19.104
0.220,-0.382,3.195,28.870,64.026,-31.860
0.233,-0.488,3.140,9.827,93.994,-22.034
0.231,-0.506,2.941,-7.629,134.399,-9.155
0.157,-0.476,2.229,-15.198,180.908,6.042
0.178,-0.265,1.986,-20.447,187.744,25.513
0.154,-0.196,1.843,-15.198,187.134,31.006
0.098,-0.128,1.640,-2.563,193.054,32.410
0.070,0.043,1.489,14.282,195.068,37.720
0.029,0.377,1.516,31.128,187.683,40.344
-0.013,0.614,1.577,44.739,183.350,31.616
-0.053,0.603,1.513,50.903,190.674,12.329
-0.074,0.495,1.312,54.932,202.454,-3.845
-0.066,0.367,1.086,55.786,211.060,-13.672
-0.060,0.228,0.912,51.086,214.417,-20.325
-0.058,0.076,0.751,43.579,217.834,-23.926
-0.032,-0.028,0.520,38.025,224.670,-22.583
0.026,-0.066,0.250,34.912,229.980,-17.456
0.047,-0.095,0.037,29.602,228.210,-13.611
0.070,-0.123,-0.175,27.954,222.839,-10.620
0.119,-0.152,-0.372,27.283,215.576,-5.859
0.163,-0.148,-0.559,21.362,207.092,0.000
0.225,-0.141,-0.735,13.367,195.618,4.639
0.284,-0.099,-0.888,7.751,180.054,7.568
0.353,0.022,-1.002,3.296,159.668,8.972
0.414,0.124,-1.116,-1.160,138.062,5.920
0.458,0.101,-1.225,-6.531,117.920,-2.625
0.523,0.025,-1.301,-11.108,97.168,-10.498
0.604,-0.001,-1.331,-12.634,76.172,-14.160
0.670,-0.100,-1.354,-14.832,57.800,-18.250
0.713,-0.232,-1.402,-17.822,41.809,-22.095
0.750,-0.331,-1.471,-18.005,25.330,-20.996
0.784,-0.397,-1.490,-17.761,5.005,-16.846
0.801,-0.397,-1.453,-16.724,-17.273,-10.315
0.802,-0.377,-1.364,-14.526,-39.856,-4.333
0.769,-0.352,-1.258,-11.169,-60.852,0.671
0.731,-0.319,-1.156,-7.751,-79.712,6.348
0.682,-0.237,-1.020,-3.479,-97.839,12.329
0.637,-0.121,-0.851,2.136,-113.708,16.174
0.583,-0.048,-0.718,8.057,-124.634,16.235
0.519,-0.015,-0.627,11.841,-131.958,13.794
0.470,0.021,-0.575,13.611,-138.489,12.573
0.407,0.024,-0.520,12.817,-146.667,10.864
0.358,0.012,-0.445,9.277,-155.823,8.972
0.312,0.032,-0.386,3.845,-163.574,9.705
0.258,0.079,-0.409,-2.563,-168.640,10.864
0.176,0.100,-0.459,-7.446,-176.331,9.888
0.083,0.043,-0.483,-11.292,-191.101,6.958
-0.012,-0.043,-0.489,-10.132,-212.341,6.470
-0.117,-0.048,-0.284,-3.479,-241.455,10.864
-0.207,0.155,0.152,10.437,-272.644,16.602
-0.266,0.401,0.735,30.518,-295.471,14.648
-0.305,0.532,1.262,48.889,-298.584,2.380
-0.396,0.710,1.505,68.115,-277.893,-13.855
-0.396,0.637,1.825,64.087,-258.423,-37.964
-0.361,0.285,2.203,23.254,-241.577,-62.195
-0.316,-0.108,2.419,-35.522,-210.449,-72.388
-0.192,-0.427,2.554,-102.173,-176.697,-66.162
-0.181,-0.500,2.437,-160.645,-148.743,-49.561
0.271,-0.295,2.363,-196.350,-126.953,-28.809
0.195,-0.608,2.620,-180.542,-111.450,-10.681
0.197,-0.282,2.984,-174.927,-123.108,21.667
0.291,0.027,3.007,-93.140,-107.422,36.377
0.354,0.235,3.358,-21.118,-111.145,31.372
0.350,0.161,3.708,19.958,-104.797,12.878
0.243,0.217,3.754,42.969,-74.158,3.540
0.244,0.478,3.824,56.458,-37.659,2.441
0.218,0.532,3.703,62.988,9.033,-10.681
0.194,0.271,3.485,55.115,54.321,-32.898
0.140,-0.129,3.327,46.265,98.572,-52.612
0.146,-0.577,2.524,41.321,145.081,-57.861
0.156,-0.543,2.354,30.396,149.109,-32.166
0.154,-0.649,2.132,24.780,162.170,-19.470
0.082,-0.630,1.707,30.762,180.725,-3.052
0.063,-0.406,1.764,36.072,162.170,23.437
0.017,-0.311,1.856,47.302,151.245,33.752
-0.047,-0.180,1.865,59.570,156.128,39.185
-0.089,0.020,1.894,68.970,163.513,46.265
-0.159,0.127,1.856,71.777,176.514,45.288
-0.247,0.091,1.767,63.660,195.496,36.987
-0.330,0.143,1.628,48.889,216.675,33.875
-0.355,0.239,1.479,28.381,237.122,33.875
-0.364,0.289,1.306,3.113,255.554,28.442
-0.381,0.150,1.012,-21.606,278.137,15.686
-0.385,-0.001,0.613,-41.138,299.622,6.470
-0.348,-0.066,0.204,-52.551,310.669,5.859
-0.259,-0.043,-0.169,-55.786,308.716,8.667
-0.178,-0.064,-0.458,-53.589,294.983,8.545
-0.084,-0.102,-0.650,-48.401,274.353,7.935
0.041,-0.033,-0.840,-38.879,255.676,12.695
0.166,-0.028,-1.048,-25.879,233.521,11.536
0.276,-0.052,-1.130,-13.306,199.890,5.981
0.382,-0.013,-1.123,-3.601,166.809,2.747
0.467,0.047,-1.107,0.366,140.808,-0.427
0.526,0.094,-1.108,-2.686,121.521,-5.371
0.553,0.094,-1.093,-10.010,105.652,-13.306
0.584,0.047,-1.098,-15.320,93.689,-21.851
0.637,-0.015,-1.165,-12.512,84.961,-28.320
0.671,-0.108,-1.341,-4.578,78.369,-32.471
0.708,-0.233,-1.566,3.723,68.604,-34.485
0.763,-0.368,-1.724,9.583,50.781,-33.203
0.815,-0.453,-1.828,14.099,26.611,-26.428
0.843,-0.437,-1.904,18.005,0.732,-15.381
0.853,-0.386,-1.905,22.156,-27.954,-5.249
0.804,-0.380,-1.798,24.536,-61.035,0.305
0.746,-0.331,-1.564,27.893,-94.788,6.897
0.697,-0.168,-1.316,34.058,-122.498,14.954
0.638,-0.015,-1.131,39.551,-141.663,17.151

-0.363,0.180,2.882,-2.075,-293.640,5.615
-0.200,0.352,3.503,-22.278,-266.418,3.418
-0.043,0.148,3.678,-61.707,-193.787,-14.038
0.055,-0.134,3.058,-102.600,-97.839,-26.306
0.227,-0.265,2.633,-140.625,-45.166,-22.461
0.296,-0.121,2.139,-159.973,-25.391,-14.160
0.590,-0.071,2.050,-156.494,-12.512,-8.240
0.449,-0.229,1.377,-96.680,-8.484,-7.080
0.468,-0.157,2.061,-73.853,-69.214,-2.136
0.520,-0.009,2.191,-25.208,-85.571,14.465
0.370,0.071,2.392,28.320,-87.891,5.676
0.258,-0.053,3.187,53.772,-110.535,-5.432
0.229,0.275,3.955,81.238,-111.755,-0.488
0.212,0.229,4.000,89.844,-75.317,-11.475
0.136,-0.236,4.000,71.167,-1.282,-33.203
0.092,-0.661,4.000,40.894,80.994,-35.706
0.067,-0.806,3.553,5.920,150.452,-17.700
0.029,-0.783,2.832,-24.353,209.473,5.432
0.005,-0.591,2.173,-43.335,243.530,28.259
0.000,-0.391,1.723,-48.035,254.028,43.701
-0.017,-0.292,1.498,-43.640,250.488,49.927
-0.043,-0.212,1.335,-31.799,245.667,54.382
-0.041,0.027,1.215,-13.367,241.150,63.538
-0.077,0.409,1.124,9.399,236.450,66.772
-0.106,0.639,1.109,29.785,228.882,54.810
-0.132,0.827,1.141,45.105,221.069,37.964
-0.135,0.942,0.991,60.181,223.267,20.630
-0.123,0.884,0.739,69.153,229.004,-1.038
-0.115,0.642,0.509,68.970,228.394,-24.231
-0.117,0.322,0.333,62.073,223.328,-40.527
-0.057,0.107,0.151,53.345,219.299,-43.640
-0.004,-0.005,0.005,43.701,215.271,-39.063
0.053,-0.117,-0.152,32.715,211.731,-34.302
0.104,-0.280,-0.295,19.348,209.412,-29.114
0.186,-0.319,-0.439,6.958,206.421,-17.456
0.254,-0.322,-0.610,-0.671,204.346,-6.042
0.319,-0.276,-0.798,-4.211,199.829,0.427
0.393,-0.193,-0.983,-7.263,192.444,5.859
0.438,-0.152,-1.201,-13.306,180.847,7.080
0.476,-0.091,-1.417,-19.897,167.297,7.568
0.503,0.065,-1.683,-19.958,153.870,8.667
0.545,0.168,-1.912,-18.127,134.521,4.395
0.592,0.136,-2.040,-18.677,106.934,-5.737
0.644,0.095,-2.142,-15.686,76.050,-14.771
0.705,0.078,-2.222,-8.911,43.335,-20.203
0.756,-0.003,-2.202,-4.272,7.751,-25.757
0.770,-0.135,-2.090,-1.099,-28.809,-30.090
0.760,-0.228,-1.937,4.700,-63.232,-29.602
0.744,-0.249,-1.753,10.498,-95.093,-24.719
0.682,-0.228,-1.571,11.414,-122.192,-18.555
0.627,-0.208,-1.393,8.728,-146.118,-13.062
0.567,-0.143,-1.237,6.226,-166.626,-7.080
0.504,-0.074,-1.072,3.601,-184.387,-2.991
0.456,0.027,-0.901,2.136,-199.341,-1.648
0.364,0.150,-0.764,2.686,-209.717,-2.686
0.273,0.183,-0.677,3.418,-216.553,-8.240
0.193,0.196,-0.578,4.700,-225.281,-14.404
0.118,0.208,-0.510,7.202,-234.436,-18.982
0.011,0.186,-0.460,11.108,-243.774,-23.499
-0.074,0.166,-0.438,14.709,-254.700,-26.855
-0.177,0.172,-0.331,20.874,-271.790,-28.381
-0.281,0.077,-0.129,24.719,-289.124,-32.410
-0.407,-0.015,0.008,31.616,-301.453,-33.630
-0.518,-0.084,0.218,42.114,-316.589,-32.349
-0.596,-0.228,0.589,45.044,-334.534,-31.433
