aX,aY,aZ,gX,gY,gZ
-0.128,-1.474,0.695,-56.946,-32.166,101.257
-0.197,-1.412,0.698,-62.622,-33.691,118.103
-0.241,-1.340,0.577,-54.199,-30.884,134.827
-0.277,-1.194,0.446,-36.133,-32.776,152.710
-0.295,-0.986,0.399,-15.015,-42.908,167.358
-0.286,-0.785,0.392,0.793,-55.542,177.246
-0.319,-0.641,0.480,-2.502,-64.331,178.650
-0.282,-0.582,0.660,-0.122,-80.627,178.162
-0.243,-0.331,0.919,4.456,-91.003,188.660
-0.213,-0.039,1.131,-1.587,-88.745,193.787
-0.306,0.266,1.295,-14.526,-77.148,190.735
-0.319,0.666,1.406,-17.578,-63.171,189.209
-0.334,1.143,1.471,-11.414,-51.819,188.416
-0.286,1.617,1.538,-0.671,-44.739,177.185
-0.241,1.832,1.586,-7.446,-37.598,148.560
-0.223,1.792,1.617,-8.728,-29.480,110.107
-0.208,1.788,1.704,-14.282,-22.888,82.153
-0.188,1.919,1.817,-16.846,-16.907,66.528
-0.173,2.069,1.885,-15.259,-7.507,50.842
-0.159,2.101,1.874,-18.860,6.226,26.306
-0.176,2.037,1.723,-18.799,22.827,-1.648
-0.175,2.003,1.528,-14.465,34.851,-27.344
-0.171,1.901,1.463,-15.076,37.598,-54.199
-0.190,1.713,1.381,-17.395,40.955,-83.008
-0.213,1.607,1.277,-16.602,47.119,-104.675
-0.231,1.537,1.198,-11.536,51.270,-123.291
-0.263,1.430,1.144,-5.371,54.138,-144.409
-0.313,1.267,1.106,0.183,57.007,-166.992
-0.365,1.068,1.032,6.287,61.707,-187.744
-0.414,0.836,0.879,10.986,69.641,-206.421
-0.468,0.562,0.609,12.329,78.186,-223.328
-0.528,0.296,0.398,14.221,77.881,-237.305
-0.540,-0.007,0.304,23.132,65.979,-249.634
-0.524,-0.397,0.469,31.921,45.166,-262.573
-0.454,-0.990,0.693,35.278,31.860,-269.836
-0.419,-1.312,0.581,32.043,40.344,-252.502
-0.395,-1.689,0.379,23.376,47.791,-233.643
-0.343,-2.055,0.359,12.146,35.217,-212.280
-0.249,-2.180,0.431,3.052,18.066,-178.345
-0.231,-2.225,0.444,0.244,9.155,-143.677
-0.230,-2.328,0.462,-1.892,1.404,-117.310
-0.214,-2.433,0.517,1.221,-7.996,-89.233
-0.187,-2.537,0.598,1.770,-16.602,-59.875
-0.161,-2.529,0.693,-0.732,-22.034,-27.222
-0.149,-2.473,0.754,-5.310,-23.193,4.089
-0.143,-2.428,0.731,-10.925,-20.264,31.860
